product	note	specs	options	description
2G_CARREL		Plastic Grommet for Cord Mangament; Diamond Perferated Pattern	Under counter LED Light; Additional Plastic Grommets; Additional Backboard material available	Add organizational space to your desk. That pile of books will now have somewhere to go while still being in reach.
BASE_CARREL		Plastic Grommet for Cord Mangament; Diamond Perferated Pattern	Under counter LED Light; Additional Plastic Grommets; Additional Backboard material available	Add organizational space to your desk. That pile of books will now have somewhere to go while still being in reach.
STEEL_CARREL		Plastic Grommet for Cord Mangament; Diamond Perferated Pattern	Under counter LED Light; Additional Plastic Grommets; Additional Backboard material available	Add organizational space to your desk. That pile of books will now have somewhere to go while still being in reach.
2G_2DRAWER	Shown in stackable version	5 Side Drawer Box; Plastic Floor Glide	Levelers (may increase the overal height); Casters (will vary the height); Lock; Drawer Front Style; Top Style	This chest is great for adding storage space under beds or functioning as a stand-alone piece. This durable chest is stackable and comes in various finishes and styles to help make any room feel like home.
BASE_2DRAWER	Shown in stackable version	5 Side Drawer Box; Plastic Floor Glide	Levelers (may increase the overal height); Casters (will vary the height); Lock; Drawer Front Style; Top Style	This chest is great for adding storage space under beds or functioning as a stand-alone piece. This durable chest is stackable and comes in various finishes and styles to help make any room feel like home.
STEEL_2DRAWER	Shown in stackable version	5 Side Drawer Box; Plastic Floor Glide	Levelers (may increase the overal height); Casters (will vary the height); Lock; Drawer Front Style; Top Style	This chest is great for adding storage space under beds or functioning as a stand-alone piece. This durable chest is stackable and comes in various finishes and styles to help make any room feel like home.
2G_3DRAWER	Shown with optional lock	5 Side Drawer Box; Plastic Floor Glide	Levelers (may increase the overal height); Casters (will vary the height); Lock; Drawer Front Style; Top Style	With three drawers, this chest offers ample space to store your clothing and accessories – adding functional storage to your room. 
BASE_3DRAWER	Shown with optional lock	5 Side Drawer Box; Plastic Floor Glide	Levelers (may increase the overal height); Casters (will vary the height); Lock; Drawer Front Style; Top Style	With three drawers, this chest offers ample space to store your clothing and accessories – adding functional storage to your room. 
2G_SMALL-3DRAWER		5 Side Drawer Box; Plastic Floor Glide	Levelers (may increase the overal height); Casters (will vary the height); Lock; Drawer Front Style; Top Style	Functional as nightstand or a chest insert.  With this capable bit of furniture you can pile your books, lamp, alarm clock and your usual items on top or hide it away inside one of our wardrobe units.
BASE_SMALL-3DRAWER		5 Side Drawer Box; Plastic Floor Glide	Levelers (may increase the overal height); Casters (will vary the height); Lock; Drawer Front Style; Top Style	Functional as nightstand or a chest insert.  With this capable bit of furniture you can pile your books, lamp, alarm clock and your usual items on top or hide it away inside one of our wardrobe units.
STEEL_SMALL-3DRAWER		5 Side Drawer Box; Plastic Floor Glide	Levelers (may increase the overal height); Casters (will vary the height); Lock; Drawer Front Style; Top Style	Functional as nightstand or a chest insert.  With this capable bit of furniture you can pile your books, lamp, alarm clock and your usual items on top or hide it away inside one of our wardrobe units.
2G_4DRAWER		5 Side Drawer Box; Plastic Floor Glide	Levelers (may increase the overal height); Casters (will vary the height); Lock; Drawer Front Style; Top Style	With four spacious drawers for storage our four drawer chest is an ideal addition to any room that needs a storage solution. Get organized with this sturdily constructed piece. 
STEEL_4DRAWER		5 Side Drawer Box; Plastic Floor Glide	Levelers (may increase the overal height); Casters (will vary the height); Lock; Drawer Front Style; Top Style	With four spacious drawers for storage our four drawer chest is an ideal addition to any room that needs a storage solution. Get organized with this sturdily constructed piece. 
2G_5DRAWER		5 Side Drawer Box; Plastic Floor Glide	Levelers (may increase the overal height); Casters (will vary the height); Lock; Drawer Front Style; Top Style	Take care of all your space constrains. This chest is vertically elongated for easy storage, saving a lot of space, in the bargain. 
BASE_5DRAWER		5 Side Drawer Box; Plastic Floor Glide	Levelers (may increase the overal height); Casters (will vary the height); Lock; Drawer Front Style; Top Style	Take care of all your space constrains. This chest is vertically elongated for easy storage, saving a lot of space, in the bargain. 
STEEL_5DRAWER		5 Side Drawer Box; Plastic Floor Glide	Levelers (may increase the overal height); Casters (will vary the height); Lock; Drawer Front Style; Top Style	Take care of all your space constrains. This chest is vertically elongated for easy storage, saving a lot of space, in the bargain. 
2G_NIGHTSTAND	Shown in two drawer version	5 Side Drawer Box; Plastic Floor Glide	Levelers (may increase the overal height); Casters (will vary the height); Lock; Drawer Front Style; Top Style; Available in 1, 2, or 3 Drawer design	With both drawer and open space our nightstand provides versatile storage for users. You can keep your mobile phone, alarm clock and other frequently needed items right on top for easy access while the open area underneath gives you a great spot to store larger items.
BASE_NIGHTSTAND	Shown in two drawer version	5 Side Drawer Box; Plastic Floor Glide	Levelers (may increase the overal height); Casters (will vary the height); Lock; Drawer Front Style; Top Style; Available in 1, 2, or 3 Drawer design	With both drawer and open space our nightstand provides versatile storage for users. You can keep your mobile phone, alarm clock and other frequently needed items right on top for easy access while the open area underneath gives you a great spot to store larger items.
STEEL_NIGHTSTAND	Shown in two drawer version	5 Side Drawer Box; Plastic Floor Glide	Levelers (may increase the overal height); Casters (will vary the height); Lock; Drawer Front Style; Top Style; Available in 1, 2, or 3 Drawer design	With both drawer and open space our nightstand provides versatile storage for users. You can keep your mobile phone, alarm clock and other frequently needed items right on top for easy access while the open area underneath gives you a great spot to store larger items.
2G_ADA-DESK		Levelers (Post Legs); Wood Top	Keyboard Tray; Pencil Drawer; Top Style; Drawer Style; Lock	This height-adjustable workstation accommodates people of all ages and abilities. You can raise and lower your work surface throughout the day, enabling you to sit or stand while working. These desk  are sturdy and easy to use.
2G_PEDESTAL-DESK		Levelers (Post Legs); Wood Top	Keyboard Tray; Pencil Drawer; Top Style	This functional desk is the perfect studying spot. Featuring 3 spacious drawers to store papers, pens and important materials this desk has the perfect amount of functional storage space. This single desk is ideal for the bedroom looking to create practical space.
2G_TABLE-DESK		Levelers (Post Legs); Wood Top	Keyboard Tray; Pencil Drawer; Top Style; Drawer Style; Lock	Unlike a full-size desk, the table desk occupies very little space and seamlessly fits into smaller areas. You can comfortably spread your workstation across the spacious surface without being short on space. 
BASE_PEDESTAL-DESK		Levelers (Post Legs); Wood Top	Keyboard Tray; Pencil Drawer; Top Style	This functional desk is the perfect studying spot. Featuring 3 spacious drawers to store papers, pens and important materials this desk has the perfect amount of functional storage space. This single desk is ideal for the bedroom looking to create practical space.
BASE_TABLE-DESK		Levelers (Post Legs); Wood Top	Keyboard Tray; Pencil Drawer; Top Style; Drawer Style; Lock	Unlike a full-size desk, the table desk occupies very little space and seamlessly fits into smaller areas. You can comfortably spread your workstation across the spacious surface without being short on space. 
STEEL_PEDESTAL-DESK		Levelers (Post Legs); Wood Top	Keyboard Tray; Pencil Drawer; Top Style	This functional desk is the perfect studying spot. Featuring 3 spacious drawers to store papers, pens and important materials this desk has the perfect amount of functional storage space. This single desk is ideal for the bedroom looking to create practical space.
STEEL_TABLE-DESK		Levelers (Post Legs); Wood Top	Keyboard Tray; Pencil Drawer; Top Style; Drawer Style; Lock	Unlike a full-size desk, the table desk occupies very little space and seamlessly fits into smaller areas. You can comfortably spread your workstation across the spacious surface without being short on space. 
2G_TV-STAND				The tabletop and shelf provide two open areas for you to display your electronics or you can keep them hidden in the cabinet compartment.  Featuring a large storage compartment this piece allows you to store your media players, gaming console, cable box, and much more.
BASE_TV-STAND				The tabletop and shelf provide two open areas for you to display your electronics or you can keep them hidden in the cabinet compartment.  Featuring a large storage compartment this piece allows you to store your media players, gaming console, cable box, and much more.
STEEL_TV-STAND				The tabletop and shelf provide two open areas for you to display your electronics or you can keep them hidden in the cabinet compartment.  Featuring a large storage compartment this piece allows you to store your media players, gaming console, cable box, and much more.
BASE_WALL-UNIT				Our wall units get an A+ when it comes to functionality. Serving as a closet, chest and as a desk this piece is top of its class and is almost all the furniture you need to complete any bedroom.
STEEL_WALL-UNIT				Our wall units get an A+ when it comes to functionality. Serving as a closet, chest and as a desk this piece is top of its class and is almost all the furniture you need to complete any bedroom.
